Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,802,DT,0.63,0.35,0.45,0.36,0.29,0.4,0.69
Total,802,KNN3,0.89,0.81,0.86,0.83,0.07,0.4,0.47
Total,802,KNN5,0.88,0.78,0.86,0.81,0.07,0.4,0.47
Total,802,ETC100,0.97,0.94,0.98,0.96,1.98,0.4,2.38
Total,802,ETC50,0.97,0.94,0.98,0.96,1.02,0.4,1.42
Total,802,ETC25,0.97,0.94,0.98,0.96,0.53,0.4,0.93
Total,802,ETC10,0.96,0.93,0.97,0.95,0.22,0.4,0.62
Total,802,RFC100,0.96,0.92,0.97,0.94,8.71,0.4,9.11
Total,802,RFC50,0.96,0.91,0.97,0.94,4.51,0.4,4.91
Total,802,RFC25,0.95,0.91,0.97,0.94,2.26,0.4,2.66
Total,802,RFC10,0.94,0.9,0.96,0.93,0.87,0.4,1.27
